,"Initial Coding Methodology, Before Any Reading",,,,,,,,,,,,,,,,,,,,,Post-reading coding,Post-reading coding,,,,,,,RR coding,
Year,Paper,Research Q,Methodology,Methodology_normalised,Topic,Topic_normalised,Autonomy level,Autonomy level normalised,"Findings (positive, negative, mixed, neutral)",Application domain,Application_domain_normalised,Sub-method A,Sub-method B,Repeatable,Repeatable Normalised,Comparison,Comparison Normalised,Real system built,Real system compared,Real system compared Normalised,Citations,Dataset,Dataset Normalised,Award,Build possible,Adapt type,Adapt Type Normalised,Explicit Research Question,Whole-system autonomy,Adaptation Controller,Adaptation Controller_normalised
2019,SASO_Gueriau,"Can adaptive learning state space improve learning convergence and accuracy, instead of manual parameter tuning",Simulation,Simulation,Improved learning algorithm,Learning quality,Level 4,Level 4,Positive,"Self-driving cars (one theory, one semi-real based on NYC taxi data)",Self-Driving Cars,New machine learning theory,,"Partial (no code, unknown simulator, uncertain precision of description, but one public dataset)",No,Primitive theoretical baseline (non-adaptive),Theoretical,No,No,No,0,Public (NYC taxi data),Public,N,No,Parametric learning,Parametric,N,N,Machine Learning (unsupervised),Learning
2019,SASO_King,"How can agent behaviours, population size, and environment constraints, be configured to best result in efficient division of labour between cooperating agents?",Simulation,Simulation,Theoretical exploration,Distributed coordination,Level 4,Level 4,Neutral,Theoretical pin factory,Other,Self-organising theory,Bio-inspired,"Partial (precise descriptions, no code, no simulation engine)",No,None / parameter space exploration,None,No,No,No,0,N/A,N/A,N,N/A,Parametric compute,Parametric,N,N,Multi-agent / swarm,MAS
2019,SASO_Ratasich,"Can adaptive runtime monitors, with flexibility over space and time of inputs, determine faults and trigger corrective actions?",Real-world experiment,Real-world experiment,Adaptive monitoring for fault tolerance,MAPE-K optimisation,Level 4,Level 4,Positive,Robot rover,Robotics,Self-adaptive monitoring,,"Yes (code online, experiments clearly described)",Yes,None (within-study method),None,Yes,No,No,0,N/A,N/A,N,Yes,Structural compute,Structural,N,N,N/A,N/A
2019,SASO_Murad,Can deep reinforcement learning generate a better policy for energy management in energy-harvesting IoT devices?,Simulation,Simulation,Configuring duty cycle and sampling rates of IoT devices,Energy efficiency,Level 4,Level 4,Positive,Environmental IoT sensing,Internet of Things,Learned duty cycle,Deep NN,"Mostly (simulator mostly described, dataset clear, methodology close, but no code)",If reimplemented,Recent alternative model,Recent alternative model,No,No (simulated system compared),No,0,,Public,N,Yes,Learned policy parameters for compute (duty cycle),Meta,N,N,Machine learning (supervised offline training),Learning
2019,SASO_Porter,Can diverse distributed system designs be autonomously formed by real-time using emergent systems concepts?,Real-world experiment on a testbed,Real-world experiment,"Improved software performance (data centers, pervasive computing)",Performance,Level 4,Level 4,Positive (mostly),Data centres & pervasive computing,Data centres,Reinforcement learning of compositions,,"Yes (code, data sets)",Yes,Theoretical ground truth / oracle,Theoretical ground truth / oracle,Yes,No,No,0,Public,Public,N,Yes,Structural compute,Structural,N,Y,Machine Learning (unsupervised),Learning
2019,SASO_Barcis,"Can a unified algorithm support temporal coordination for synchronisation, anti-synch, and clustering?",Simulation + Real-world,Simulation/real,Time synchronisation for robot swarm,Distributed coordination,N/A,N/A,Positive,Robot agents,Robotics,New coordination algorithm for phase synchronisation,,"Partial (no code, potential to build from paper)",No,None,None,Yes,No,No,0,N/A,N/A,N,Yes,Algorithm,Parametric,N,N,Protocol,Policy
2019,SASO_Podolskiy,Can machine learning tune vertical scaling of containers in cloud applications to maximise SLOs of multi-tenant systems?,Real-world test in a datacentre testbed,Real-world experiment,Web traffic in data centers,Performance,Level 4,Level 4,Positive (mostly),Web serving,Data centres,Reinforcement learning of policies,,"Partial (no code, experiments described in partial detail)",No,Brute-force baseline / ground truth,Brute-force baseline / ground truth,Yes,No,No,0,Synthetic / private,Synthetic,N,Yes,Parameters,Parametric,Y,N,Machine Learning (unsupervised),Learning
2019,SASO_Hendren,Can a fat tree using local routing information allow WebRTC to scale to more nodes?,Simulation + Real-world,Simulation/real,Peer to peer algorithm for web browsers,Other optimisation,N/A,N/A,Positive,Community computing,Other,Fat-tree with probabilistic balancing,,"Partial (no code, simulation unspecified)",No,,,Yes,Yes,Yes,0,Private,Private,N,Yes,Network topology,Structural,N,N,Protocol,Policy
2019,SASO_Fredericks,Can planning approaches be used as real-time optimisation?,Simulation,Simulation,Traffic (vehicle) routing to optimise journey times,Other optimisation,Level 4,Level 4,Positive,Traffic management in a city,Internet of Things,Clustering,,Yes (code and simulator available),Yes,Other online optimisation algorithms,Other online optimisation algorithms,No,No,No,0,N/A,N/A,N,No,Car routes,Structural,N,N,Machine Learning (unsupervised),Learning
2019,SASO_Hakimzadeh,Can a declarative CM be rich enough to capture fine-grained configurations in cloud systems?,Real-world,Real-world experiment,Cloud auto-scaling (data centers),Performance,Level 4/5?,Level 4 / 5,Positive,Web serving,Data centres,Declarative programming / specification,,Partial (no code),No,Descriptive comparison of other CMs,Descriptive comparison of other CMs,Yes,No (not empirically),No,0,N/A,N/A,N,Yes,Cloud scaling,Structural,Y,N,Protocol,Policy
2019,SASO_Barnes,What impacts arise from introducing two independent socio-technical systems into a shared environment?,Theoretical abstract model & simulation,Simulation,Socio-technical systems,Alt,N/A,N/A,Neutral,N/A,Other,,,"Partial (no code, method described)",No,Multiple approaches studied,Multiple approaches studied,No,No,No,0,N/A,N/A,N,No,Behaviour,Structural,N,N,N/A,N/A
2019,SASO_Fang,Can machine learning autonomously detect errors in sensor network readings to report true readings?,Simulation,Simulation,Error detection in WSN data,Fault tolerance,Level 4,Level 4,Positive,IoT / WSN,Internet of Things,Bayesian learning + MDP,,Yes (code available),Yes,Earlier version of approach by same authors,Earlier version of approach by same authors,No,No,No,0,Public,Public,N,Yes,Learning / classifier tuning,Meta,N,N,Machine leaarning (unsupervised / semi-supervised),Learning
2019,SASO_Diaconescu,Can we find evidence of the same feedback patterns across multiple different domains of control system?,Survey of different fields of science which have control structures,Systematic review,Coordination theory,Distributed coordination,N/A,N/A,Neutral,General autonomous systems,General SAS,,,No (informal methodology),No,Survey,Survey,No,No,No,0,N/A,N/A,N,No,Coordination,Meta,N,Y,Various,N/A
2019,SASO_Bartosz,How can self-adaptive and self-monitoring behaviours be achieved in distributed database environments?,Simulation and real implementation validation,Simulation/real,Distributed database adaptation (multiple databases),Research tool,Level 4,Level 4,Neutral,Large-scale databases,Data storage,,,Partial (no code),No,None,None,Yes,N/A,N/A,0,Synthetic / private,Synthetic,N,Yes,Cloud scaling,Structural,N,N,Protocol,Policy
2019,SASO_Paucar,Can a POMDP machine learning algorithm be used to control adaptive systems?,Simulation,Simulation,Remote data mirroring / network topology,Fault tolerance,Level 4,Level 4,Positive,Data storage / mirroring,Data storage,POMDP,,Partial (no code),No,Simulated comparison,Simulated comparison,Yes,No,No,0,Real / private,Private,N,Yes,Topology choice,Structural,N,N,Machine Learning (unsupervised),Learning
2019,SASO_Brand,Can the level of monitoring for a self-adaptive system be automatically adapted based on information demand?,Simulation,Simulation,General adaptive systems,MAPE-K optimisation,N/A,N/A,Neutral,Unknown / general,Multi-agent,,,"Partial (no code, no experiment instructions)",No,None,None,No,No,No,0,N/A,N/A,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,ICAC_Imes,Can software power capping with hardware DVFS control outperform software-based DVFS?,Real-world experiments,Real-world experiment,Energy reduction,Energy efficiency,Level 4,Level 4,Positive (mostly),Hardware management,Other,Control theory,,Partial (no code),No,Standard DVFS + oracle,Standard DVFS + oracle,Yes,Yes,Yes,0,N/A,N/A,N,Yes,Power cap tuning,Parametric,N,N,Control theory,Control theory
2019,ICAC_Zufle,Can dynamic environment forecasting models outperform static ones?,Theortical Simulation / R,Simulation/real,Forecasting,Learning quality,Level 4,Level 4,Neutral,General autonomous systems,General SAS,Various machine learning,,"Partial (no code - paper specifies a code link, but there's nothing there)",No,Various,Various,No,No,No,0,Public,Public,N,Yes,Recommender approach,N/A,Y,N,Various machine learning,Learning
2019,ICAC_Seetanadi,Which physical environment model best suits state space expansion in model checking for adaptive systems?,Simulation,Simulation,CCTV Camera streaming,Modelling,Level 4,Level 4,Neutral,Camera video streaming,Computer vision,,,Yes (code online),Yes,Three approaches,Three approaches,No,No,No,0,Synthetic but explained,Synthetic,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,ICAC_Ramirez,Which predictive model for cloud auto-scaling works best?,Real-world experiments,Real-world experiment,Predictive / forecasting,Learning quality,Level 4,Level 4,Neutral,Web serving,Data centres,,,"Partial (code online, experiments not?)",Yes,Five approaches,Five approaches,Yes,Yes,Yes,0,Synthetic,Synthetic,N,Yes,Cloud scaling,Structural,N,Y,Various,Multiple
